ID	763577454-SRS014494-Posterior_fornix	763577454-SRS014476-Supragingival_plaque	763577454-SRS014472-Buccal_mucosa	763577454-SRS014470-Tongue_dorsum	763577454-SRS014464-Anterior_nares	763577454-SRS014459-Stool
Corynebacterium_matruchotii	0	63.82546	0	0	0	0
Rothia_dentocariosa	0	36.17454	0	0	0	0
Bacteroides_stercoris	0	0	0	0	0	100
Prevotella_histicola	0	0	0	13.13846	0	0
Lactobacillus_crispatus	80.29728	0	0	0	0	0
Lactobacillus_iners	19.70272	0	0	0	0	0
Streptococcus_mitis	0	0	98.33306	0	0	0
Veillonella_sp_DORA_A_3_16_22	0	0	0	86.86154	0	0
Haemophilus_haemolyticus	0	0	1.66694	0	0	0
Moraxella_nonliquefaciens	0	0	0	0	100	0