tool_name,reads_name,precision,recall,f1_score
igg,reads_rl-25_c-4,0.166666667,1,0.285714286
igg,reads_rl-25_c-5,0.142857143,1,0.25
igg,reads_rl-25_c-6,0.142857143,1,0.25
igg,reads_rl-25_c-7,0.142857143,1,0.25
igg,reads_rl-50_c-4,0.2,1,0.333333333
igg,reads_rl-50_c-5,0.2,1,0.333333333
igg,reads_rl-50_c-6,0.2,1,0.333333333
igg,reads_rl-50_c-7,0.2,1,0.333333333
igg,reads_rl-75_c-4,0.333333333,1,0.5
igg,reads_rl-75_c-5,0.333333333,1,0.5
igg,reads_rl-75_c-6,0.25,1,0.4
igg,reads_rl-75_c-7,0.25,1,0.4
igg,reads_rl-100_c-4,0.333333333,1,0.5
igg,reads_rl-100_c-5,0.333333333,1,0.5
igg,reads_rl-100_c-6,0.333333333,1,0.5
igg,reads_rl-100_c-7,0.333333333,1,0.5
igg,reads_rl-125_c-4,0.5,1,0.666666667
igg,reads_rl-125_c-5,0.333333333,1,0.5
igg,reads_rl-125_c-6,0.333333333,1,0.5
igg,reads_rl-125_c-7,0.333333333,1,0.5
igg,reads_rl-150_c-4,0.5,1,0.666666667
igg,reads_rl-150_c-5,0.333333333,1,0.5
igg,reads_rl-150_c-6,0.333333333,1,0.5
igg,reads_rl-150_c-7,0.333333333,1,0.5
igg,reads_rl-175_c-4,0.5,1,0.666666667
igg,reads_rl-175_c-5,0.5,1,0.666666667
igg,reads_rl-175_c-6,0.333333333,1,0.5
igg,reads_rl-175_c-7,0.333333333,1,0.5
igg,reads_rl-200_c-4,0.5,1,0.666666667
igg,reads_rl-200_c-5,0.5,1,0.666666667
igg,reads_rl-200_c-6,0.5,1,0.666666667
igg,reads_rl-200_c-7,0.333333333,1,0.5
igg,reads_rl-225_c-4,0,0,0
igg,reads_rl-225_c-5,0.5,1,0.666666667
igg,reads_rl-225_c-6,0.5,1,0.666666667
igg,reads_rl-225_c-7,0.5,1,0.666666667
igg,reads_rl-250_c-4,0,0,0
igg,reads_rl-250_c-5,0.5,1,0.666666667
igg,reads_rl-250_c-6,0.5,1,0.666666667
igg,reads_rl-250_c-7,0.5,1,0.666666667
igg,reads_rl-275_c-4,0,0,0
igg,reads_rl-275_c-5,0,0,0
igg,reads_rl-275_c-6,0.5,1,0.666666667
igg,reads_rl-275_c-7,0.5,1,0.666666667
igg,reads_rl-300_c-4,0,0,0
igg,reads_rl-300_c-5,0,0,0
igg,reads_rl-300_c-6,0.5,1,0.666666667
igg,reads_rl-300_c-7,0.5,1,0.666666667
metaphlan,reads_rl-100_c-4,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-5,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-7,1,0.666666667,0.8
metaphlan,reads_rl-125_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-125_c-5,1,0.555555556,0.714285714
metaphlan,reads_rl-125_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-125_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-150_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-150_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-150_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-150_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-175_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-200_c-4,1,0.333333333,0.5
metaphlan,reads_rl-200_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-200_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-200_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-225_c-4,1,0.333333333,0.5
metaphlan,reads_rl-225_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-225_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-225_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-250_c-4,1,0.333333333,0.5
metaphlan,reads_rl-250_c-5,1,0.333333333,0.5
metaphlan,reads_rl-250_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-250_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-275_c-4,1,0.333333333,0.5
metaphlan,reads_rl-275_c-5,1,0.333333333,0.5
metaphlan,reads_rl-275_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-275_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-300_c-4,1,0.333333333,0.5
metaphlan,reads_rl-300_c-5,1,0.333333333,0.5
metaphlan,reads_rl-300_c-6,1,0.333333333,0.5
metaphlan,reads_rl-300_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-25_c-4,0.411764706,0.777777778,0.538461538
metaphlan,reads_rl-25_c-5,0.380952381,0.888888889,0.533333333
metaphlan,reads_rl-25_c-6,0.391304348,1,0.5625
metaphlan,reads_rl-25_c-7,0.333333333,0.888888889,0.484848485
metaphlan,reads_rl-50_c-4,0.7,0.777777778,0.736842105
metaphlan,reads_rl-50_c-5,0.7,0.777777778,0.736842105
metaphlan,reads_rl-50_c-6,0.636363636,0.777777778,0.7
metaphlan,reads_rl-50_c-7,0.636363636,0.777777778,0.7
metaphlan,reads_rl-75_c-4,0.875,0.777777778,0.823529412
metaphlan,reads_rl-75_c-5,0.875,0.777777778,0.823529412
metaphlan,reads_rl-75_c-6,0.727272727,0.888888889,0.8
metaphlan,reads_rl-75_c-7,0.727272727,0.888888889,0.8